id,ses,genderid,perfgoal,achieve,mastery,interest,anxiety,pgoal_MS
1,1,1,29.49650753,6.125,5.714285714,6,1.666666667,0
2,0,0,29.53626206,1.625,1.428571429,4,6.333333333,0
3,0,1,30.40808896,4.5,1.285714286,2,3.666666667,1
4,1,1,33.5401775,2.375,2.285714286,4,3.666666667,1
5,1,1,28.68141177,5.125,4.571428571,5.5,3.666666667,0
6,1,1,32.38485407,3.375,1.857142857,4,6.333333333,1
7,0,0,25.9928757,4.125,3,4,3.333333333,0
8,0,0,31.31280017,3.5,3.428571429,5,7,1
9,1,0,27.98270951,3.375,3.142857143,4.5,2.666666667,0
10,1,0,28.32524547,1.375,2.142857143,4,3.666666667,0
11,1,0,27.63697646,3.75,4,4,4.666666667,0
12,0,0,29.60292576,2.875,1.142857143,3,5.666666667,0
13,0,1,31.90000997,1.875,3.571428571,1.5,3,1
14,0,1,30.39585668,2.25,2.428571429,2,3,1
15,0,1,35.03216408,2.75,1.857142857,1,5,1
16,1,0,31.13271489,3,2.857142857,3,3.333333333,1
17,1,0,30.34290427,3.375,4.714285714,2.5,5,1
18,0,1,28.87361788,2,1.714285714,1,5.666666667,0
19,0,1,29.59850699,3.375,1.857142857,1.5,4,0
20,1,0,34.70758299,2.75,1,1.5,4.333333333,1
21,1,0,30.31477058,3.625,2.428571429,3,5.333333333,1
22,1,1,30.11354404,5.125,4.428571429,4.5,3.333333333,1
23,1,1,28.708208,4.25,2.714285714,5.5,7,0
24,1,1,31.4787788,3.875,3.714285714,5,5,1
25,0,1,27.3869722,2.625,1.428571429,5,3.333333333,0
26,0,0,31.21055434,3.25,6,7,4.666666667,1
27,0,0,40.01835412,4.125,5,7,4.333333333,1
28,1,0,26.33050102,3,6,5.5,2.666666667,0
29,1,0,26.89045722,2.25,2.571428571,4,6.333333333,0
30,1,1,26.95255985,5.5,1.857142857,5.5,2.333333333,0
31,1,1,28.84596439,4,3.714285714,5.5,3.333333333,0
32,1,1,29.22640602,5.5,3.857142857,6,4,0
33,0,1,30.43030506,1.625,2.142857143,6,4.666666667,1
34,0,1,27.56184336,2.375,6,1.5,3,0
35,1,0,32.1696891,5,4.714285714,5.5,3.333333333,1
36,0,0,30.53648906,3.5,3.571428571,7,2.666666667,1
37,0,0,27.76501652,2.875,3,6,1.333333333,0
38,1,0,26.85108622,4.875,6.857142857,6,5,0
39,0,0,29.03056879,2.625,2.857142857,4,6.333333333,0
40,0,1,33.01679132,2.625,1,1,6.333333333,1
41,0,1,33.64917879,3.5,1.285714286,2,6,1
42,0,0,32.87551291,2,1.285714286,2,6.333333333,1
43,0,1,29.55983531,3.375,1.428571429,3,6.333333333,0
44,0,1,35.0376454,1.125,1.857142857,2.5,6.333333333,1
45,1,0,27.41448683,4.25,4.714285714,5.5,1.666666667,0
46,1,0,40.01835412,6,2.142857143,4.5,6,1
47,1,0,28.51910896,5,2.714285714,4.5,1.333333333,0
48,0,0,26.84455822,3.125,5,3.5,3.333333333,0
49,0,0,29.39640161,3.5,4,3.5,7,0
50,0,0,30.88547603,3.25,2.428571429,2,3,1
51,1,0,32.10238609,4,4.142857143,4.5,4,1
52,1,1,40.01835412,4.5,3.571428571,2,5,1
53,1,0,24.93142264,3.875,4.714285714,7,6.333333333,0
54,1,0,29.56818764,4.25,2.428571429,6,5,0
55,0,0,30.70717461,1.5,1.142857143,2,5.333333333,1
56,0,1,27.0942457,4.125,3.571428571,5.5,6,0
57,0,1,29.74325203,4.5,4.571428571,6,6.333333333,0
58,1,1,29.86879782,4.125,3.571428571,4,5.666666667,0
59,0,0,25.12105431,2.25,1.571428571,1.5,6.333333333,0
60,1,0,25.83127105,4.375,3.428571429,4.5,4,0
61,1,0,26.78296557,4.5,1.714285714,4.5,4.666666667,0
62,1,1,40.01835412,3,3.428571429,6.5,1.666666667,1
63,1,1,26.67263687,4.625,1.428571429,4,4.333333333,0
64,1,0,29.66128321,4.25,2.571428571,7,7,0
65,1,0,25.57285125,4.75,3.285714286,6,6,0
66,0,1,27.49325079,4.25,6.142857143,6.5,2.333333333,0
67,0,1,32.11254864,4,2.428571429,3.5,5,1
68,0,1,32.38074555,5.375,5.428571429,6,6.333333333,1
69,0,1,32.22097649,3.25,3.428571429,5.5,3,1
70,0,0,32.8928288,1.75,2.714285714,3,1.666666667,1
71,0,0,24.86331307,4.375,4,3.5,4.333333333,0
72,0,0,29.80991922,3.625,3.714285714,5,4.333333333,0
73,1,1,27.11229331,5.5,4.428571429,2.5,7,0
74,1,1,25.2310257,3.625,1.714285714,4.5,5,0
75,1,1,31.88224451,1,1.857142857,1,2.333333333,1
76,0,1,33.68945159,2.25,1,2,5.666666667,1
77,0,0,28.90917293,2.25,1,1,7,0
78,1,0,28.5825456,4.375,2,4.5,6,0
79,1,0,26.46982216,4.25,3.714285714,4,5,0
80,1,0,28.50692973,4.5,4,4,4.333333333,0
81,0,0,30.71902452,3.25,1,2,5,1
82,0,1,30.20086804,1.75,1,1,7,1
83,0,1,30.76579193,2.75,1.428571429,1,6.666666667,1
84,0,1,32.89819706,1,1.285714286,1,5.333333333,1
85,0,1,32.37708323,2.375,2,1.5,7,1
86,0,1,26.93882092,2.375,1.571428571,4,5,0
87,1,0,30.46073241,2.25,1.142857143,1,6.333333333,1
88,1,0,30.03443274,3.625,3.857142857,4,7,1
89,0,0,26.07814054,2.125,1.857142857,1,5.333333333,0
90,1,0,30.65517698,2.625,1,1,3,1
91,1,0,28.41102587,3.75,2,3,5,0
92,1,1,29.78582837,4.75,3.428571429,1.5,3,0
93,1,1,28.41178107,4.25,3,4,3,0
94,0,1,28.72170292,4.5,3.428571429,2.5,2.666666667,0
95,0,0,27.64891653,5.5,4.142857143,1.5,3,0
96,0,0,28.35274834,3.875,2,2,2.333333333,0
97,1,0,34.64189681,1.875,1.714285714,1,6.333333333,1
98,1,1,35.33499544,2,1.571428571,1.5,4.333333333,1
99,1,1,30.73184394,1.75,1.714285714,1.5,3.666666667,1
100,1,1,31.44789879,2.5,1.285714286,1,7,1
101,1,1,32.27197357,2.5,1.142857143,1,4,1
102,1,0,26.28787381,6.25,6.285714286,7,1,0
103,1,0,27.09956598,4.375,4.714285714,4,2.333333333,0
104,0,0,31.91546807,3.625,2.857142857,3.5,1.666666667,1
105,1,0,26.84956066,5.625,4.571428571,4,2.666666667,0
106,0,0,28.59165373,2.625,3.428571429,5,2.333333333,0
107,0,1,27.99141025,3.5,4.142857143,3.5,3,0
108,1,1,26.93154032,4.25,3.571428571,5,3.666666667,0
109,1,1,26.57356808,3.625,3,5,7,0
110,0,1,28.11155974,3.25,2.857142857,2.5,6.333333333,0
111,0,1,32.0566328,2.25,3.428571429,4,6.666666667,1
112,0,1,30.03686938,3.625,4,3.5,5.666666667,1
113,1,0,28.47200434,3.75,1.428571429,1.5,3.333333333,0
114,0,0,33.83305265,2.125,2.857142857,1,7,1
115,1,0,26.45942768,4.625,2,3,7,0
116,1,1,27.58915659,4,2.142857143,4,6.666666667,0
117,1,1,29.25340942,5.25,3,5.5,6.333333333,0
118,0,0,33.80862278,1,2.285714286,4,6,1
119,0,0,28.87622842,4,2.142857143,1,5.333333333,0
120,0,0,36.49984887,2.5,1.857142857,2,5,1
121,0,0,31.17212078,1,2,1.5,5.333333333,1
122,1,1,28.18894989,5.125,5.857142857,5.5,3,0
123,0,0,29.14457876,1,1.285714286,1.5,7,0
124,0,0,30.40432555,1,1,1,3,1
125,0,0,27.29492632,3,2.571428571,2.5,5,0
126,1,1,28.10443895,4.5,4.428571429,4.5,3,0
127,0,1,30.14869134,2.5,1.857142857,2.5,7,1
128,0,1,31.78123863,2.625,2.857142857,2.5,5,1
129,0,0,32.66443186,1.625,2.428571429,4,5,1
130,0,1,31.09704445,1.875,2.714285714,3.5,7,1
131,0,1,29.56943752,1.125,1,1,3.666666667,0
132,0,0,33.01591784,1.5,1.571428571,1,6.666666667,1
133,0,1,31.7221694,3.25,1.857142857,4.5,5.666666667,1
134,1,1,31.12226587,4.625,4.571428571,3.5,6.333333333,1
135,0,1,32.0564005,1.75,1.714285714,5,7,1
136,0,0,29.12293422,2.75,1.428571429,3.5,6,0
137,1,0,31.00427211,4.125,4.142857143,5,6,1
138,1,0,25.42544401,5.5,3.857142857,5,5.333333333,0
139,0,0,29.16952833,1.375,1.428571429,2.5,6.666666667,0
140,0,1,31.88963399,2.375,1.428571429,2.5,6.666666667,1
